topology,run,seed,edges,mean_degree,degree_cv,transitivity,global_efficiency
BA,0,43,2176,43.52,0.372433797145,0.518318363793,0.719797979798
ER,0,42,3168,63.36,0.0860278523115,0.642783935049,0.82
WS,0,44,3200,64,0.0483113276054,0.658616969685,0.823232323232
BA,1,46,2176,43.52,0.369044334653,0.518293319168,0.719797979798
ER,1,45,3193,63.86,0.068580384516,0.64392500657,0.822525252525
WS,1,47,3200,64,0.0521509977134,0.660496544765,0.823232323232
BA,2,49,2176,43.52,0.370885324937,0.523571766935,0.719797979798
ER,2,48,3161,63.22,0.0749829472026,0.637731861821,0.819292929293
WS,2,50,3200,64,0.0435262133662,0.658450006931,0.823232323232
BA,3,52,2176,43.52,0.38185549867,0.525843584246,0.719797979798
ER,3,51,3185,63.7,0.0770511220836,0.644203201529,0.821717171717
WS,3,53,3200,64,0.048663785945,0.659856001188,0.823232323232
BA,4,55,2176,43.52,0.385570674559,0.527691788147,0.719797979798
ER,4,54,3176,63.52,0.0711224579521,0.641519360269,0.820808080808
WS,4,56,3200,64,0.0488640492847,0.659100693259,0.823232323232
BA,5,58,2176,43.52,0.374032326304,0.521054721476,0.719797979798
ER,5,57,3177,63.54,0.0682540954883,0.640109202024,0.820909090909
WS,5,59,3200,64,0.05053425509,0.662537167962,0.823232323232
BA,6,61,2176,43.52,0.378703797736,0.524282550304,0.719764309764
ER,6,60,3200,64,0.0762269432353,0.64742837418,0.823232323232
WS,6,62,3200,64,0.0483113276054,0.661511891448,0.823232323232
BA,7,64,2176,43.52,0.366373598715,0.520178647788,0.719797979798
ER,7,63,3165,63.3,0.0729953557798,0.638915090771,0.819696969697
WS,7,65,3200,64,0.0511584548242,0.659348161634,0.823232323232
BA,8,67,2176,43.52,0.373650998659,0.525216322285,0.719797979798
ER,8,66,3219,64.38,0.0650072114625,0.649280610651,0.825151515152
WS,8,68,3200,64,0.0471346972781,0.659048278934,0.823232323232
BA,9,70,2176,43.52,0.381993742122,0.526922570574,0.719797979798
ER,9,69,3221,64.42,0.0644978090109,0.650134786657,0.825353535354
WS,9,71,3200,64,0.0517279542414,0.65782495993,0.823232323232
BA,10,73,2176,43.52,0.392034653714,0.529800706027,0.719797979798
ER,10,72,3208,64.16,0.0755149423244,0.648664563204,0.82404040404
WS,10,74,3200,64,0.0479562789163,0.659693869976,0.823232323232
BA,11,76,2176,43.52,0.362563661484,0.518366802576,0.719797979798
ER,11,75,3211,64.22,0.0702126681905,0.647978589915,0.824343434343
WS,11,77,3200,64,0.0490634952128,0.659458764034,0.823232323232
BA,12,79,2176,43.52,0.364567756917,0.516144990962,0.719797979798
ER,12,78,3161,63.22,0.0740427523377,0.638580594924,0.819292929293
WS,12,80,3200,64,0.0472381764307,0.657289774668,0.823232323232
BA,13,82,2176,43.52,0.376466481803,0.523318703101,0.719797979798
ER,13,81,3216,64.32,0.0677289914422,0.649047344393,0.824848484848
WS,13,83,3200,64,0.0463512405443,0.658636903583,0.823232323232
BA,14,85,2176,43.52,0.375750537492,0.522182559918,0.719797979798
ER,14,84,3145,62.9,0.0748231899889,0.634988737531,0.817676767677
WS,14,86,3200,64,0.0511107101056,0.660969154278,0.823232323232
BA,15,88,2176,43.52,0.382656615479,0.525444120688,0.719797979798
ER,15,87,3249,64.98,0.0722473874438,0.656568073387,0.828181818182
WS,15,89,3200,64,0.0508232998978,0.655304285877,0.823232323232
BA,16,91,2176,43.52,0.364466365217,0.516892952627,0.719797979798
ER,16,90,3132,62.64,0.0788420144779,0.632965471803,0.816363636364
WS,16,92,3200,64,0.0495585985224,0.659797232104,0.823232323232
BA,17,94,2176,43.52,0.384871666382,0.527268631923,0.719797979798
ER,17,93,3123,62.46,0.0738355356552,0.631249255193,0.815454545455
WS,17,95,3200,64,0.0521041625017,0.658570608837,0.823232323232
BA,18,97,2176,43.52,0.383359662544,0.523473097772,0.719797979798
ER,18,96,3239,64.78,0.0905021571416,0.658236598784,0.827171717172
WS,18,98,3200,64,0.0477010547577,0.658581849495,0.823232323232
BA,19,100,2176,43.52,0.378620136979,0.523068077927,0.719797979798
ER,19,99,3201,64.02,0.0739272347482,0.647009815279,0.823333333333
WS,19,101,3200,64,0.0504859200669,0.65906729599,0.823232323232
BA,20,103,2176,43.52,0.372206901879,0.523224444592,0.719797979798
ER,20,102,3184,63.68,0.0709924056221,0.64229417483,0.821616161616
WS,20,104,3200,64,0.0482607662859,0.661218248489,0.823232323232
BA,21,106,2176,43.52,0.361221420727,0.518135011442,0.719797979798
ER,21,105,3237,64.74,0.0706702808922,0.653706123748,0.82696969697
WS,21,107,3200,64,0.0457681828621,0.659623123413,0.823232323232
BA,22,109,2176,43.52,0.376788913559,0.522922014193,0.719797979798
ER,22,108,3155,63.1,0.067180723912,0.635273137422,0.818686868687
WS,22,110,3200,64,0.0532626892158,0.659453657861,0.823232323232
BA,23,112,2176,43.52,0.366935202378,0.516423808348,0.719797979798
ER,23,111,3163,63.26,0.0719425827072,0.638494877857,0.819494949495
WS,23,113,3200,64,0.0464564648354,0.656893121232,0.823232323232
BA,24,115,2176,43.52,0.384514820232,0.523398263318,0.719797979798
ER,24,114,3190,63.8,0.0771376476449,0.644125571218,0.822222222222
WS,24,116,3200,64,0.0502435474713,0.65880158522,0.823232323232
BA,25,118,2176,43.52,0.380609048052,0.525639577568,0.719797979798
ER,25,117,3246,64.92,0.0705772850354,0.655504617952,0.827878787879
WS,25,119,3200,64,0.0431317929433,0.65495269357,0.823232323232
BA,26,121,2176,43.52,0.367768821748,0.519129988987,0.719797979798
ER,26,120,3175,63.5,0.0675331705272,0.640052769654,0.820707070707
